id|Organization_Name|Address|Address2|City|ZipCode|State|MailingAddress|KeepPrivate|Activity|MyTrace
11|The Greening of Detroit|1418 Michigan Ave.||Detroit|48216|MI|false|false|Youth Programs/Services,Job Training,Urban Agriculture, Workforce Development, Green Infrastructure, Vacant Lot Interventions, Environmental Education, Nutrition Education, Volunteer Opportunities|0
20|Southwest Detroit Environmental Vision|PO Box 9400||Detroit|48209|MI|true|false|N/A|1
24|Kids-TALK Childrens Advocacy Center|40 E Ferry St.||Detroit|48202|MI|false|false|Youth Programs/Services|1
25|Healthy Neighborhoods Detroit|4777 E. Outer Drive, Suite 1371||Detroit|48234|MI|false|false|Health and Wellness Services,Computer and/or Technology Resources|1
26|Test NiJeL|926 Fulton|#1|Brooklyn|11238|NY|true|true|Computer and/or Technology Resources|1
27|Black Mothers Breastfeeding Organization|9641 Harper Ave||Detroit|48213|MI|false|false|Health and Wellness Services|1
28|North Corktown Neighborhood Association|3005 Rosa Parks Blvd||Detroit|48216|MI|false|true|N/A|1
29|The Center for Entrepreneurship & Innovation|7650 Second Avenue||Detroit|48202|MI|false|false|Entrepreneurship/Business Development Services,Job Training|1
30|Grandmont Rosedale Development Corporation|19800 Grand River Ave||Detroit|48223|MI|false|false|Youth Programs/Services,Entrepreneurship/Business Development Services,Housing renovation, beautification, farmers market, etc.|0
32|Framework and Resources for Empowering Environments|24111 Meridian Rd.|Apt. 120|Grosse Ile.|48138|MI|true|true|N/A|1
33|Detroit Greenways Coalition|PO Box 32013||Detroit|48232|MI|true|false|undefined|1
34|Detroit Greenways Coalition|PO Box 32013||Detroit|48232|MI|true|false|N/A|1
35|Detroit Food Policy Council|2934 Russell||Detroit|48207|MI|false|false|undefined|1
36|Detroit Food Policy Council|2934 Russell||Detroit|48207|MI|false|false|N/A|1
37|Stafford House, Inc|2990 West Grand Blvd|Suite M23|Detroit|48202|MI|true|false|Youth Programs/Services,Entrepreneurship/Business Development Services|1
38|GenesisHOPE Community Development Corporation|7200 Mack Avenue||Detroit|48214|MI|false|false|Youth Programs/Services,Health and Wellness Services,Entrepreneurship/Business Development Services|0
39|GenesisHOPE Community Development Corporation|3458 Field Street||Detroit|48214|MI|true|false|undefined|0
40|GenesisHOPE Community Development Corporation|7200 Mack Avenue||Detroit|48214|MI|false|false|Youth Programs/Services,Health and Wellness Services,Entrepreneurship/Business Development Services|0
41|GenesisHOPE Community Development Corporation|3458 Field Street||Detroit|48214|MI|true|false|N/A|0
42|USGBC Detroit Regional Chapter|461 Burroughs||Detroit|48202|MI|false|false|N/A|1
43|Bridging Communities, Inc.|6900 McGraw||Detroit|48210|MI|true|false|Youth Programs/Services,Senior Programs/Services,Entrepreneurship/Business Development Services,Computer and/or Technology Resources,TimeBank|0
44|Virginia Park Block Club|909 Virginia Park St||Detroit|48202|MI|false|true|N/A|1
45|OHair Park Community Association|19800 Pembroke||Detroit|48219|MI|true|false|Youth Programs/Services,block development and neighborhood rehab and development|1
46|Greater Sandhill Neighborhood Organization|PO Box 19063||Det|48219|error|true|false|N/A|1
47|Greater Sandhill Neighborhood Organization|PO Box 19063||Detroit|48219|error|true|false|N/A|1
48|Greater Sandhill Neighborhood Organization|PO Box 19063||Detroit|48219|error|true|false|N/A|1
49|Greater Sandhill Neighborhood Organization|PO Box 19063||Detroit|48219|error|true|false|N/A|1
50|Greater Sandhill Neighborhood Organization|PO Box 19063||Detroit|48219|error|true|false|N/A|1
51|Greater Sandhill Neighborhood Organization|PO Box 19063||Detroit|48219|MI|true|false|N/A|1
52|Nortown Community Development Corporation|20017 Van Dyke|P.O. Box 34102 (mailing address)|Detroit|48234|MI|false|false|Youth Programs/Services,Senior Programs/Services,Health and Wellness Services,Entrepreneurship/Business Development Services,Neighborhood and Block Club programs; clean and safe program;city information and referral services;|1
53|Bleeding Heart Design|19397 Andover||detroit|48203|MI|false|true|Youth Programs/Services,public art; empowerment events;|0
54|Teppert & State Fair Block Club|Arneatha Reynolds|P.O. Box 57|Eastpointe|48021|MI|true|true|N/A|1
55|200 Lakewood block club|224 Lakewood||Detroit|48215|MI|false|false|N/A|1
56|Great Lakes Bioneers Detroit|4750 Woodward Ave. 3306||Detroit|48201|MI|true|false|Information and collaboration services|1
57|Midtown Alliance|4142 Cass, Apt. 202||Detroit|48201|MI|false|false|N/A|1
60|Test Kenyetta at D3|440 Burroughs Street|Ste 125|Detroit|48202|MI|false|false|Computer and/or Technology Resources,Analysis and Visualization|1
65|Test D3 Kenyetta Second Test|123 Main Street||Detroit|48207|MI|false|true|Entrepreneurship/Business Development Services,Job Training|1
66|Test Third Attempt Kenyetta|246 Old Time Road||Detroit|48206|MI|false|true|Senior Programs/Services|1
67|Test FOURTH D3|2425 The Street||Detroit|48226|MI|false|true|Senior Programs/Services|0
68|Test FOURTH D3|2425 The Street||Detroit|48226|MI|false|true|Senior Programs/Services|0
69|TEST D3 - Fifth|999 The End Street||Detroit|48207|MI|false|true|Computer and/or Technology Resources|0
70|Urban Partnership Bank|4830 Cass Avenue|Wayne State University|Detroit|48201|MI|false|false|Financial Products and Services|1
71|West Euclid Express Block Club|750 W Euclid||Detroit|48202|error|true|false|undefined|1
72|West Euclid Express Block Club|750 W Euclid||Detroit|48202|error|true|false|N/A|1
73|West Euclid Express Block Club|750 W Euclid||Detroit|48202|error|true|false|Community Information Specialist|1
74|West Euclid Express Block Club|750 W Euclid||Detroit|48202|MI|true|false|Community Information Specialist|1
75|Bagley Community Council, Inc|18011 Woodingham|P.O. Box 21363|Detroit|48221|MI|true|false|Community and block club support: patrol, scholarship, newsletter and more....|1
76|Open Book Block|276 King Street|341 Westminster|Detroit|48202|error|false|true|Youth Programs/Services,Senior Programs/Services,Tutoring and Mentoring,Computer and/or Technology Resources|1
77|Open Book Block|276 King Street|341 Westminster|Detroit|48202|MI|false|false|Youth Programs/Services,Senior Programs/Services,Tutoring and Mentoring,Computer and/or Technology Resources|1
78|#LETSDOSOMETHING|error||error|error|error|false|false|undefined|1
79|#LETSDOSOMETHING|700 Seward Street||Detroit|48202|MI|false|true|Youth Programs/Services,Health and Wellness Services,Entrepreneurship/Business Development Services,Job Training,Tutoring and Mentoring|1
80|#LETSDOSOMETHING|700 Seward Avenue||Detroit|48202|MI|false|true|Youth Programs/Services,Health and Wellness Services,Entrepreneurship/Business Development Services,Job Training,Tutoring and Mentoring|1
81|Focus: HOPE|1355 Oakman Boulevard||Detroit|48238|MI|false|false|Youth Programs/Services,Senior Programs/Services,Health and Wellness Services,Entrepreneurship/Business Development Services,Job Training,Computer and/or Technology Resources|1
82|Bridging Communities, Inc|6900 McGraw||Detroit|48210|MI|true|false|Youth Programs/Services,Senior Programs/Services,Health and Wellness Services,Entrepreneurship/Business Development Services,Computer and/or Technology Resources|1
83|Vanguard Community Development Corporation|2795 East Grand Boulevard||Detroit|48202|MI|false|false|Entrepreneurship/Business Development Services|1
84|Residents Restoring Riverdale|16875 Chatham||Detroit|48219|MI|false|true|N/A|1
85|Michigan Historic Preservation Network|313 East Grand River Avenue||Lansing|48906|MI|true|false|Education and advocacy|1
86|U SNAP BAC|14901 E. Warren||Detroit|48224|MI|true|false|Entrepreneurship/Business Development Services|1
87|Eastside Community Network|440 Burroughs||Detroit|48202|MI|true|true|N/A|0
88|Eastside Community Network|11148 Harper||Detroit|48213|MI|false|false|Youth Programs/Services|0
89|Preservation Detroit|4735 Cass Ave.||Detroit|48201|MI|false|false|Archival Research|1
90|Mohican Regent Homeowners Association|14720 Carlisle St||Detroit|48205|MI|false|true|N/A|1
91|Marygrove Community Association|8901 Marygrove||Detroit|48221|MI|false|true|N/A,Block club organization|1
92|MorningSide|P. O. Box 24690||Detroit|48224|MI|true|false|N/A|1
93|Resource Community Development Corporation|P.O. Box 3064||Southfield|48037|MI|true|false|undefined|1
94|Resource Community Development Corporation|29193 Northwestern Hwy., Suite 734||Southfield|48034|MI|false|true|undefined|1
95|Resource Community Development Corporation|P.O. Box 3064||Southfield|48037|MI|true|false|Bring Equipment/Tools to Project Sites; Also, Work Our Own Targeted Areas|1
96|Resource Community Development Corporation|29193 Northwestern Hwy., Suite 734||Southfield|48034|MI|false|true|N/A|1
97|Belle Isle Conservancy|300 River Place Drive|Suite 2800|Detroit|48207|MI|true|false|N/A|1
98|Belvidere Community Youth Block Club|5012 Belvidere||Detroit|48213|MI|false|true|Youth Programs/Services,Health and Wellness Services|1
99|Voices for Earth Justice|15894 Greydale ST||Detroit|48223|MI|false|false|Youth Programs/Services,Environmental and Gardening Education|1
100|International Union of Painters and Allied Trades|7234 Parkway Drive||Hanover|21076|MD|false|false|Entrepreneurship/Business Development Services,Job Training,Tutoring and Mentoring|1
101|MorningSide|P. O. Box 24690||Detroit|48224|MI|true|false|N/A|1
102|Palmer Woods Association|PO Box 21086||Detroit|48221|MI|true|false|neighborhood programs|1
103|Activate313.org|POB 2416||Detroit|48202|MI|true|true|N/A|0
104|Framework and Resources for Empowering Environments|1060 W. Fort St.||Detroit|48226|MI|true|true|Youth Programs/Services,Entrepreneurship/Business Development Services,Job Training,Tutoring and Mentoring,Construction: Blight Removal: Community-led design: Community Development:Workforce Development: Transportation Services|1
105|Algonquin Block Club|880 Algonquin St||Detroit|48215|MI|false|true|N/A|1
106|Algonquin Block Club|Faith Church|897 Phillip|Detroit|48215|MI|false|false|Youth Programs/Services,Senior Programs/Services,Health and Wellness Services,Entrepreneurship/Business Development Services,Job Training,Tutoring and Mentoring,Computer and/or Technology Resources,Food Program and Clothes Closet|1
107|Algonquin Block Club|880 Algonquin St||Detroit|48215|MI|false|true|N/A|1
108|Algonquin Block Club|Faith Church|897 Phillip|Detroit|48215|MI|false|false|Youth Programs/Services,Senior Programs/Services,Health and Wellness Services,Entrepreneurship/Business Development Services,Job Training,Tutoring and Mentoring,Computer and/or Technology Resources,Food Program and Clothes Closet|1
109|West Village Association|PO Box 14912||Detroit|48214|MI|true|false|N/A|1
110|MiRoad2Work.org|error||error|error|error|false|false|Job Training|0
111|MiRoad2Work.org|not applicable||not applicable|error|error|false|true|Job Training|0
112|MiRoad2Work.org|not applicable||not applicable|error|error|false|true|Job Training|0
113|MiRoad2Work.org|not applicable||not applicable|error|MI|false|true|Job Training|0
114|MiRoad2Work.org|4485 Chisholm Trail||Bloomfield Hills|48301|MI|false|true|Job Training|0
115|Detroit Wayne County Health Authority|3031 West Grand Boulevard|Suite 450|Detroit|48202|MI|false|false|Health and Wellness Services|1
116|Eastside Community Network|4401 Conner||Detroit|48215|MI|true|false|Youth Programs/Services,Entrepreneurship/Business Development Services,Tutoring and Mentoring,Community and Economic Development|0
117|Mack Alive Community Resource Center|3746 Fischer Street||Detroit|48215|MI|true|false|Youth Programs/Services,Senior Programs/Services,Health and Wellness Services,Entrepreneurship/Business Development Services,Tutoring and Mentoring,Computer and/or Technology Resources|0
118|Kentucky Joy Association, Inc.|8520 Kentucky||Detroit|48204|MI|false|true|N/A|0
